address_id,customer_id,street_address,city,state,postal_code,country,is_primary
1,1,8617 Center St,San Antonio,TX,78201,USA,1
2,2,2996 Oak St,Milwaukee,WI,53201,USA,1
3,3,5800 River Rd,San Jose,CA,95101,USA,1
4,4,1580 Sunset Blvd,Dallas,TX,75201,USA,1
5,5,662 Elm St,Portland,OR,97201,USA,1
6,6,3667 Washington Ave,New York,NY,10001,USA,1
7,7,2244 Park Rd,Miami,FL,33101,USA,1
8,8,7530 Pine St,Philadelphia,PA,19101,USA,1
9,9,7290 Broadway,San Diego,CA,92101,USA,1
10,10,4768 Lincoln Way,Miami,FL,33101,USA,1
11,11,6067 Market St,Las Vegas,NV,89101,USA,1
12,12,9217 Sunset Blvd,Miami,FL,33101,USA,1
13,13,8738 Main St,Memphis,TN,38101,USA,1
14,14,4286 Main St,Las Vegas,NV,89101,USA,1
15,15,3813 Highland Ave,Chicago,IL,60601,USA,1
16,16,114 Walnut St,Denver,CO,80201,USA,1
17,17,5799 Oak St,Milwaukee,WI,53201,USA,1
18,18,1329 Broadway,Fresno,CA,93701,USA,1
19,19,6906 Oak St,Colorado Springs,CO,80901,USA,1
20,20,1028 Oak St,Louisville,KY,40201,USA,1
21,21,1749 Pine St,Milwaukee,WI,53201,USA,1
22,22,8093 Main St,Fort Worth,TX,76101,USA,1
23,23,516 Pine St,Jacksonville,FL,32201,USA,1
24,24,1534 Sunset Blvd,Mesa,AZ,85201,USA,1
25,25,7943 Park Rd,Atlanta,GA,30301,USA,1
26,26,8035 Sunset Blvd,Milwaukee,WI,53201,USA,1
27,27,5140 Broadway,Fresno,CA,93701,USA,1
28,28,8381 Lakeview Dr,Detroit,MI,48201,USA,1
29,29,8530 Maple St,Seattle,WA,98101,USA,1
30,30,8940 Market St,Fort Worth,TX,76101,USA,1
31,31,2113 Chestnut St,Memphis,TN,38101,USA,1
32,32,3780 River Rd,Tucson,AZ,85701,USA,1
33,33,3288 Maple St,Fresno,CA,93701,USA,1
34,34,9916 Elm St,Chicago,IL,60601,USA,1
35,35,2058 Cedar St,Omaha,NE,68101,USA,1
36,36,6862 Elm St,Memphis,TN,38101,USA,1
37,37,1718 Park Rd,Memphis,TN,38101,USA,1
38,38,1669 Main St,Kansas City,MO,64101,USA,1
39,39,5821 Washington Ave,Houston,TX,77001,USA,1
40,40,4704 Walnut St,Fort Worth,TX,76101,USA,1
41,41,4040 Park Rd,Oklahoma City,OK,73101,USA,1
42,42,338 Cedar St,El Paso,TX,79901,USA,1
43,43,3299 Lakeview Dr,Portland,OR,97201,USA,1
44,44,6537 Park Rd,Miami,FL,33101,USA,1
45,45,849 Oak St,Raleigh,NC,27601,USA,1
46,46,4375 Chestnut St,Seattle,WA,98101,USA,1
47,47,8671 Lakeview Dr,Raleigh,NC,27601,USA,1
48,48,3420 Center St,Miami,FL,33101,USA,1
49,49,5983 Lakeview Dr,Columbus,OH,43201,USA,1
50,50,1992 Broadway,Las Vegas,NV,89101,USA,1
51,51,7905 Market St,New York,NY,10001,USA,1
52,52,942 River Rd,Colorado Springs,CO,80901,USA,1
53,53,6466 Washington Ave,Chicago,IL,60601,USA,1
54,54,8942 Pine St,Tucson,AZ,85701,USA,1
55,55,2599 Pine St,Louisville,KY,40201,USA,1
56,56,6268 Maple St,Charlotte,NC,28201,USA,1
57,57,8325 Lakeview Dr,Columbus,OH,43201,USA,1
58,58,5931 Highland Ave,Las Vegas,NV,89101,USA,1
59,59,7391 Park Rd,Dallas,TX,75201,USA,1
60,60,5028 Walnut St,Austin,TX,78701,USA,1
61,61,7920 Highland Ave,Columbus,OH,43201,USA,1
62,62,9681 Maple St,Colorado Springs,CO,80901,USA,1
63,63,7614 Cedar St,Houston,TX,77001,USA,1
64,64,7295 Main St,Detroit,MI,48201,USA,1
65,65,9042 Cedar St,Fresno,CA,93701,USA,1
66,66,2687 Park Rd,Detroit,MI,48201,USA,1
67,67,2310 Washington Ave,Oklahoma City,OK,73101,USA,1
68,68,9635 Elm St,Tucson,AZ,85701,USA,1
69,69,4365 Pine St,San Francisco,CA,94101,USA,1
70,70,812 Highland Ave,Colorado Springs,CO,80901,USA,1
71,71,3836 Lakeview Dr,Phoenix,AZ,85001,USA,1
72,72,3963 Main St,San Diego,CA,92101,USA,1
73,73,1948 Pine St,Seattle,WA,98101,USA,1
74,74,3270 Highland Ave,Dallas,TX,75201,USA,1
75,75,5753 Washington Ave,New York,NY,10001,USA,1
76,76,7147 Chestnut St,El Paso,TX,79901,USA,1
77,77,2232 River Rd,Dallas,TX,75201,USA,1
78,78,7219 Maple St,Phoenix,AZ,85001,USA,1
79,79,8813 Highland Ave,Boston,MA,02101,USA,1
80,80,5542 River Rd,Miami,FL,33101,USA,1
81,81,1362 Park Rd,San Diego,CA,92101,USA,1
82,82,6606 Maple St,Dallas,TX,75201,USA,1
83,83,9907 Elm St,Fresno,CA,93701,USA,1
84,84,8605 Highland Ave,Fort Worth,TX,76101,USA,1
85,85,4381 Cedar St,Seattle,WA,98101,USA,1
86,86,8109 Lakeview Dr,Las Vegas,NV,89101,USA,1
87,87,9763 Walnut St,Fresno,CA,93701,USA,1
88,88,2018 Elm St,Las Vegas,NV,89101,USA,1
89,89,7497 Cedar St,Austin,TX,78701,USA,1
90,90,3959 Lakeview Dr,San Francisco,CA,94101,USA,1
91,91,5974 Main St,San Diego,CA,92101,USA,1
92,92,7051 Walnut St,Seattle,WA,98101,USA,1
93,93,9729 Broadway,Detroit,MI,48201,USA,1
94,94,159 Washington Ave,San Antonio,TX,78201,USA,1
95,95,4541 Oak St,Memphis,TN,38101,USA,1
96,96,668 Maple St,Fort Worth,TX,76101,USA,1
97,97,3095 Park Rd,Fresno,CA,93701,USA,1
98,98,3276 River Rd,Jacksonville,FL,32201,USA,1
99,99,6866 Oak St,Columbus,OH,43201,USA,1
100,100,5575 Maple St,New York,NY,10001,USA,1
101,101,9841 Market St,Detroit,MI,48201,USA,1
102,102,7501 Sunset Blvd,Chicago,IL,60601,USA,1
103,103,5794 Chestnut St,Albuquerque,NM,87101,USA,1
104,104,3714 Park Rd,Tucson,AZ,85701,USA,1
105,105,9453 Broadway,Fresno,CA,93701,USA,1
106,106,5396 Washington Ave,Milwaukee,WI,53201,USA,1
107,107,2860 Park Rd,Houston,TX,77001,USA,1
108,108,1144 Highland Ave,Dallas,TX,75201,USA,1
109,109,724 Cedar St,Baltimore,MD,21201,USA,1
110,110,8969 Broadway,Raleigh,NC,27601,USA,1
